Log file created successfully
Choose Pixel Format Successful!!..	{Index = 10}
SetPixelFormat Successful!
wglCreateContext Successsful!!..
wglMakeCurrent Successful!.
glewInit Successful!..
Vertex Shader Compiled Successfully!!..
Fragement ShaderCompiled Successfully!!..
Program Linkage Successful!!
Marble Texture Loaded Sussessfully!
Initialization Successful!..
ELAPSED: 0.240000
ELAPSED: 4.020000
ELAPSED: 4.050000
ELAPSED: 4.080000
ELAPSED: 4.140000
ELAPSED: 4.170000
ELAPSED: 4.200000
ELAPSED: 4.200000
ELAPSED: 4.230000
ELAPSED: 4.230000
ELAPSED: 4.260000
ELAPSED: 4.260000
ELAPSED: 4.260000
ELAPSED: 4.560000
ELAPSED: 4.560000
ELAPSED: 4.920000
ELAPSED: 4.950000
ELAPSED: 5.310000
ELAPSED: 5.790000
ELAPSED: 5.820000
ELAPSED: 5.910000
ELAPSED: 5.940000
ELAPSED: 6.030000
ELAPSED: 6.060000
ELAPSED: 6.150000
ELAPSED: 6.180000
ELAPSED: 6.300000
ELAPSED: 6.330000
ELAPSED: 6.480000
ELAPSED: 6.510000
ELAPSED: 6.600000
ELAPSED: 6.600000
ELAPSED: 6.780000
ELAPSED: 6.810000
ELAPSED: 6.900000
ELAPSED: 6.930000
ELAPSED: 7.110000
ELAPSED: 7.110000
ELAPSED: 7.230000
ELAPSED: 7.260000
ELAPSED: 7.410000
ELAPSED: 7.440000
ELAPSED: 7.530000
ELAPSED: 7.560000
ELAPSED: 7.740000
ELAPSED: 7.740000
ELAPSED: 7.860000
ELAPSED: 7.860000
ELAPSED: 8.040000
ELAPSED: 8.040000
ELAPSED: 8.160001
ELAPSED: 8.160001
ELAPSED: 8.280000
ELAPSED: 8.310000
ELAPSED: 8.429999
ELAPSED: 8.429999
ELAPSED: 8.550000
ELAPSED: 8.550000
ELAPSED: 8.670000
ELAPSED: 8.670000
ELAPSED: 8.790000
ELAPSED: 8.790000
ELAPSED: 8.910000
ELAPSED: 8.910000
ELAPSED: 9.030000
ELAPSED: 9.059999
ELAPSED: 9.150001
ELAPSED: 9.180000
ELAPSED: 9.300000
ELAPSED: 9.300000
ELAPSED: 9.420000
ELAPSED: 9.420000
ELAPSED: 9.540000
ELAPSED: 9.540000
ELAPSED: 9.660000
ELAPSED: 9.690001
ELAPSED: 9.780000
ELAPSED: 9.809999
ELAPSED: 9.900001
ELAPSED: 9.930000
ELAPSED: 10.050000
ELAPSED: 10.050000
ELAPSED: 10.170000
ELAPSED: 10.170000
ELAPSED: 10.290000
ELAPSED: 10.290000
ELAPSED: 10.410000
ELAPSED: 10.410000
ELAPSED: 10.530001
ELAPSED: 10.559999
ELAPSED: 10.650000
ELAPSED: 10.680000
ELAPSED: 10.800000
ELAPSED: 10.800000
ELAPSED: 10.920000
ELAPSED: 10.920000
ELAPSED: 11.040000
ELAPSED: 11.040000
ELAPSED: 11.160000
ELAPSED: 11.190000
ELAPSED: 11.280000
ELAPSED: 11.310000
ELAPSED: 11.400000
ELAPSED: 11.430000
ELAPSED: 11.549999
ELAPSED: 11.580000
ELAPSED: 11.670000
ELAPSED: 11.670000
ELAPSED: 11.790000
ELAPSED: 11.790000
ELAPSED: 11.910001
ELAPSED: 11.910001
ELAPSED: 12.030000
ELAPSED: 12.060000
ELAPSED: 12.150000
ELAPSED: 12.179999
ELAPSED: 12.300000
ELAPSED: 12.300000
ELAPSED: 12.420000
ELAPSED: 12.420000
ELAPSED: 12.540000
ELAPSED: 12.540000
ELAPSED: 12.660000
ELAPSED: 12.690001
ELAPSED: 12.809999
ELAPSED: 12.809999
ELAPSED: 12.900001
ELAPSED: 12.930000
ELAPSED: 13.050000
ELAPSED: 13.050000
ELAPSED: 13.170000
ELAPSED: 13.170000
ELAPSED: 13.290000
ELAPSED: 13.290000
ELAPSED: 13.410000
ELAPSED: 13.410000
ELAPSED: 13.530000
ELAPSED: 13.559999
ELAPSED: 13.680000
ELAPSED: 13.680000
ELAPSED: 13.800000
ELAPSED: 13.800000
ELAPSED: 13.920000
ELAPSED: 13.920000
ELAPSED: 14.040000
ELAPSED: 14.040000
ELAPSED: 14.160000
ELAPSED: 14.190000
ELAPSED: 14.280001
ELAPSED: 14.309999
ELAPSED: 14.400000
ELAPSED: 14.430000
ELAPSED: 14.550000
ELAPSED: 14.550000
ELAPSED: 14.670000
ELAPSED: 14.670000
ELAPSED: 14.790000
ELAPSED: 14.790000
ELAPSED: 14.910000
ELAPSED: 14.940000
ELAPSED: 15.030000
ELAPSED: 15.059999
ELAPSED: 15.150000
ELAPSED: 15.179999
ELAPSED: 15.299999
ELAPSED: 15.299999
ELAPSED: 15.420000
ELAPSED: 15.420000
ELAPSED: 15.540000
ELAPSED: 15.540000
ELAPSED: 15.660001
ELAPSED: 15.660001
ELAPSED: 15.810000
ELAPSED: 15.810000
ELAPSED: 15.900000
ELAPSED: 15.930000
